condition,text,source_url
Atopic Dermatitis,"Treatment focuses on healing the skin and preventing flares. This includes avoiding triggers, regular moisturizing, and using medications to control itching and inflammation. Treatment options include topical corticosteroids, topical calcineurin inhibitors, crisaborole, dupilumab (for moderate to severe cases), and phototherapy. Wet wrap therapy and bleach baths may also be helpful.","https://www.aad.org/public/diseases/eczema"
Atopic Dermatitis,"Atopic dermatitis often begins in infancy, with 60% of cases developing during the first year of life and 90% before age 5. The condition improves in many children as they grow older, though some continue to experience symptoms into adulthood. Adult-onset atopic dermatitis can occur, often triggered by stress or environmental changes.","https://www.niams.nih.gov/health-topics/atopic-dermatitis"
Atopic Dermatitis,"Complications of atopic dermatitis can include asthma, hay fever, food allergies, chronic itchy, scaly skin, skin infections, irritant hand dermatitis, allergic contact dermatitis, and sleep problems. Severe scratching can cause skin damage and infections. Proper management can reduce the risk of these complications.","https://www.dermnetnz.org/topics/atopic-dermatitis-complications"
Basal Cell Carcinoma,"Basal cell carcinoma (BCC) is the most common type of skin cancer. It develops from the basal cells in the lower part of the epidermis. BCC usually develops on sun-exposed skin, especially the face, head, and neck. It tends to grow slowly and rarely spreads to other parts of the body (metastasizes), but it can invade nearby tissues and bone if left untreated.","https://www.dermnetnz.org/topics/basal-cell-carcinoma"
Basal Cell Carcinoma,"The primary cause of basal cell carcinoma is long-term exposure to ultraviolet (UV) radiation from sunlight or tanning beds. Fair-skinned individuals with blond or red hair, light-colored eyes, and those who freckle or burn easily are at increased risk. A history of sunburns, especially during childhood, increases the risk. Genetic factors and rare genetic disorders such as Gorlin syndrome also play a role.","https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/symptoms-causes/syc-20354451"
Basal Cell Carcinoma,"Basal cell carcinoma often appears as a change in the skin, such as a growth or a sore that doesn't heal. It may have several characteristics including a pearly or waxy bump, a flat, scaly, reddish patch, or a white, waxy, scar-like lesion. Blood vessels may be visible on the surface of the bump.","https://www.skincancer.org/skin-cancer-information/basal-cell-carcinoma"
Basal Cell Carcinoma,"Treatment options for basal cell carcinoma depend on the type, location, size, and depth of the tumor, as well as patient preferences. Common treatments include surgical excision, Mohs surgery, electrodesiccation and curettage, cryotherapy, topical medications, photodynamic therapy, laser surgery, and radiation therapy.","https://www.aad.org/public/diseases/skin-cancer/basal-cell-carcinoma"
Basal Cell Carcinoma,"Regular skin self-exams and professional skin examinations are important for early detection. When detected early, basal cell carcinoma is highly treatable. Prevention focuses on sun protection: using broad-spectrum sunscreen with SPF 30 or higher, seeking shade, wearing protective clothing, and avoiding tanning beds.","https://www.dermnetnz.org/topics/basal-cell-carcinoma-prevention"
Contact Dermatitis,"Contact dermatitis is a red, itchy rash caused by direct contact with a substance or an allergic reaction to it. The rash isn't contagious or life-threatening, but it can be very uncomfortable. There are two main types: irritant contact dermatitis and allergic contact dermatitis.","https://www.dermnetnz.org/topics/contact-dermatitis"
Contact Dermatitis,"Irritant contact dermatitis results from direct damage to the skin by substances such as solvents, detergents, acids, alkalis, or physical irritants like friction. Allergic contact dermatitis occurs when the immune system reacts to a substance (allergen) that touches the skin. Common allergens include nickel, poison ivy, fragrances, preservatives, and latex.","https://www.mayoclinic.org/diseases-conditions/contact-dermatitis/symptoms-causes/syc-20146229"
Contact Dermatitis,"Symptoms of contact dermatitis include a red rash, itching that may be severe, dry, cracked, scaly skin, bumps and blisters that may ooze and crust, and swelling, burning, or tenderness. The rash usually develops within minutes to hours of exposure and can last two to four weeks. The severity depends on the substance, concentration, duration of exposure, and individual sensitivity.","https://www.niams.nih.gov/health-topics/contact-dermatitis"
Contact Dermatitis,"Treatment involves identifying and avoiding the causative substance. Self-care approaches include applying cool, wet compresses, using anti-itch creams or lotions, and keeping the skin clean and moisturized. Medical treatments may include topical corticosteroids, oral corticosteroids for severe cases, and antibiotics if a secondary infection develops. Patch testing can help identify specific allergens.","https://www.aad.org/public/diseases/contact-dermatitis"
Contact Dermatitis,"Prevention strategies include wearing protective gloves when handling irritants, using mild soaps and detergents, moisturizing regularly, washing new clothing before wearing, and being cautious with jewelry if you have metal allergies. Testing new products on a small area of skin first can help prevent reactions.","https://www.dermnetnz.org/topics/contact-dermatitis-prevention"
Eczema,"Eczema is a term for a group of medical conditions that cause the skin to become inflamed or irritated. The most common type of eczema is atopic dermatitis (atopic eczema). Other types include contact dermatitis, dyshidrotic eczema, nummular eczema, and seborrheic dermatitis. Eczema is very common, and many people have it at some point in their lives.","https://www.dermnetnz.org/topics/eczema"
Eczema,"Eczema causes the skin to become red, inflamed, itchy, and sometimes to develop blisters that ooze and crust. The itching can be intense, especially at night. Scratching can further irritate the skin, leading to a vicious cycle of itching and scratching. Chronic scratching can cause the skin to thicken and become leathery (lichenification).","https://www.mayoclinic.org/diseases-conditions/eczema/symptoms-causes/syc-20353273"
Eczema,"While the exact cause of eczema is unknown, researchers believe it develops from a combination of genetic and environmental factors. A gene variation that affects the skin's ability to provide a strong barrier function is linked to eczema. This allows moisture to escape and allergens, bacteria, and irritants to enter more easily. Triggers vary from person to person and can include irritants, allergens, microbes, temperature changes, foods, stress, and hormones.","https://www.niams.nih.gov/health-topics/eczema"
Eczema,"Treatment aims to heal the skin, relieve symptoms, prevent flare-ups, and prevent infection. This includes avoiding triggers, regular moisturizing, and using medications to control itching and inflammation. Treatment options vary by type and severity but may include topical corticosteroids, topical calcineurin inhibitors, antihistamines, antibiotics (if infected), and phototherapy.","https://www.aad.org/public/diseases/eczema"
Eczema,"Proper skin care is essential for managing eczema. This includes taking lukewarm baths or showers, using gentle, fragrance-free cleansers, moisturizing immediately after bathing while the skin is still damp, wearing soft, breathable fabrics, and avoiding rough, scratchy materials. Keeping fingernails short helps prevent skin damage from scratching.","https://www.dermnetnz.org/topics/eczema-care"
Folliculitis,"Folliculitis is a common skin condition in which hair follicles become inflamed. It's usually caused by a bacterial or fungal infection. At first it may look like small red bumps or white-headed pimples around hair follicles — the tiny pockets from which each hair grows. The infection can spread and turn into nonhealing, crusty sores.","https://www.dermnetnz.org/topics/folliculitis"
Folliculitis,"Folliculitis can be caused by bacteria (most commonly Staphylococcus aureus), fungi, viruses, or physical irritation from shaving, tight clothing, or excessive sweating. Hot tub folliculitis is caused by Pseudomonas aeruginosa bacteria found in poorly maintained hot tubs and spas. Pityrosporum folliculitis is caused by a yeast (Malassezia) that infects hair follicles.","https://www.mayoclinic.org/diseases-conditions/folliculitis/symptoms-causes/syc-20368835"
Folliculitis,"Symptoms of folliculitis include clusters of small red bumps or white-headed pimples that develop around hair follicles, pus-filled blisters that break open and crust over, red and inflamed skin, itchy or burning skin, pain or tenderness, and a large swollen bump or mass. Mild cases often clear up in a few days with basic self-care measures.","https://www.niams.nih.gov/health-topics/folliculitis"
Folliculitis,"Treatment depends on the underlying cause. Mild bacterial folliculitis often responds to topical antibiotics like mupirocin or clindamycin. Antifungal creams, shampoos, or medications are used for fungal folliculitis. Warm compresses can help alleviate discomfort and promote drainage. Keeping the skin clean and dry is important. Oral antibiotics may be needed for severe or deep infections.","https://www.aad.org/public/diseases/folliculitis"
Folliculitis,"Prevention strategies include avoiding tight clothing, keeping the skin clean and dry, showering immediately after exercise or sweating, using clean razors and replacing blades frequently, avoiding sharing personal items like towels or razors, and properly maintaining hot tubs and spas. Using antibacterial soaps may help prevent bacterial folliculitis.","https://www.dermnetnz.org/topics/folliculitis-prevention"
Fungal Infection,"Fungal infections of the skin, also known as dermatomycoses or tinea, are caused by fungi that live on the keratin in skin, hair, and nails. Common types include athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm (tinea corporis), and scalp ringworm (tinea capitis). These infections spread through direct contact with infected people, animals, soil, or contaminated objects.","https://www.dermnetnz.org/topics/fungal-infections"
Fungal Infection,"Fungal skin infections typically cause itchy, red, scaly, or flaky skin. The rash may have a raised, border that expands outward, creating a ring-like appearance (hence the name ringworm). The affected area may be lighter or darker than the surrounding skin. Some fungal infections cause cracking, peeling, or blistering.","https://www.mayoclinic.org/diseases-conditions/fungal-skin-infections/symptoms-causes/syc-20353806"
Fungal Infection,"Treatment usually involves antifungal medications applied directly to the skin (topical) or taken by mouth (oral). Over-the-counter antifungal creams, powders, and sprays are effective for many mild to moderate infections. Prescription-strength topical antifungals or oral antifungal medications may be needed for severe, extensive, or resistant infections. Keeping the area clean and dry is important during treatment.","https://www.aad.org/public/diseases/fungal-infections"
Fungal Infection,"Prevention involves keeping the skin clean and dry, changing socks and underwear daily, wearing breathable fabrics, wearing footwear in public showers, locker rooms, and pool areas, not sharing personal items like towels, clothing, or hairbrushes, and washing hands thoroughly after touching animals or soil. Antifungal powders can help keep feet dry.","https://www.dermnetnz.org/topics/fungal-infection-prevention"
Fungal Infection,"Certain factors increase the risk of fungal skin infections, including warm, humid environments, excessive sweating, poor hygiene, weakened immune system, diabetes, obesity, pregnancy, and certain medications like corticosteroids or antibiotics. People who participate in sports or activities that cause frequent skin-to-skin contact are also at increased risk.","https://www.mayoclinic.org/diseases-conditions/fungal-skin-infections/risk-factors"
Herpes Zoster,"Herpes zoster, also known as shingles, is a viral infection that causes a painful rash. It occurs when the varicella-zoster virus, the same virus that causes chickenpox, reactivates in the body years after the initial infection. Anyone who has had chickenpox can develop shingles. The risk increases with age, particularly after 50.","https://www.dermnetnz.org/topics/herpes-zoster"
Herpes Zoster,"Shingles is characterized by pain, tingling, or itching in a specific area on one side of the body or face, followed by a red rash that develops a few days later. The rash consists of fluid-filled blisters that break open and crust over. The pain can be severe and may persist long after the rash has cleared (postherpetic neuralgia). Other symptoms may include fever, headache, sensitivity to light, and fatigue.","https://www.mayoclinic.org/diseases-conditions/shingles/symptoms-causes/syc-20353054"
Herpes Zoster,"Antiviral medications such as acyclovir, valacyclovir, or famciclovir can help reduce the length and severity of the illness if started soon after the rash appears. These medications can also reduce the risk of postherpetic neuralgia. Pain management is important and may include topical anesthetics, opioids, or neuropathic pain agents. Cool, wet compresses can help relieve pain and itching.","https://www.aad.org/public/diseases/shingles"
Herpes Zoster,"The shingles vaccine (Shingrix) is recommended for adults aged 50 and older to prevent shingles and its complications. Two doses are given 2 to 6 months apart. The vaccine is more than 90% effective at preventing shingles. Even if you've had shingles, you can still get the vaccine to help prevent future occurrences. Vaccination also reduces the risk of postherpetic neuralgia.","https://www.cdc.gov/shingles/vaccination.html"
Herpes Zoster,"Complications of shingles can include postherpetic neuralgia (long-term nerve pain), vision loss (if shingles affects the eye), neurological problems (depending on which nerves are affected), and skin infections. Early treatment with antivirals can reduce the risk of these complications. People with weakened immune systems are at higher risk for severe shingles and complications.","https://www.dermnetnz.org/topics/herpes-zoster-complications"
Hyperpigmentation,"Hyperpigmentation is a common, usually harmless condition in which patches of skin become darker in color than the normal surrounding skin. This darkening occurs when an excess of melanin, the brown pigment that produces normal skin color, forms deposits in the skin. Hyperpigmentation can affect the skin color of people of any race.","https://www.dermnetnz.org/topics/hyperpigmentation"
Hyperpigmentation,"Common causes of hyperpigmentation include sun damage, inflammation, or other skin injuries, including those related to acne vulgaris. Hormonal changes, such as those during pregnancy or with certain medical conditions, can cause melasma. Certain medications can cause hyperpigmentation as a side effect. Genetics also play a role in determining an individual's susceptibility to hyperpigmentation.","https://www.mayoclinic.org/diseases-conditions/hyperpigmentation/symptoms-causes/syc-20353806"
Hyperpigmentation,"Types of hyperpigmentation include melasma (dark patches on the face), sunspots (also called liver spots or solar lentigines), post-inflammatory hyperpigmentation (dark spots that remain after an injury or inflammation heals), freckles (small, concentrated spots of increased melanin), and age spots (increasing with age). Treatment depends on the type and cause.","https://www.dermnetnz.org/topics/hyperpigmentation-types"
Hyperpigmentation,"Treatment options include topical medications (such as hydroquinone, retinoids, vitamin C, kojic acid, or azelaic acid), chemical peels, laser therapy, intense pulsed light (IPL), microdermabrasion, and cryotherapy. Sunscreen is essential to prevent further darkening and to maintain results. Multiple treatments may be needed for optimal results.","https://www.aad.org/public/diseases/hyperpigmentation"
Hyperpigmentation,"Prevention focuses on sun protection: using broad-spectrum sunscreen with SPF 30 or higher, seeking shade, wearing protective clothing, and avoiding tanning beds. Avoiding skin irritation and inflammation can help prevent post-inflammatory hyperpigmentation. Treating underlying medical conditions that contribute to hyperpigmentation is also important.","https://www.dermnetnz.org/topics/hyperpigmentation-prevention"
Impetigo,"Impetigo is a common and contagious skin infection that mainly affects infants and young children. It's usually caused by Staphylococcus aureus bacteria, but sometimes by Streptococcus pyogenes bacteria. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on the hands and feet. The sores burst and develop honey-colored crusts.","https://www.dermnetnz.org/topics/impetigo"
Impetigo,"Impetigo spreads through direct contact with the sores or with items that have touched the sores (like towels, clothing, or toys). Scratching can spread the infection to other parts of the body. Good hygiene practices help prevent the spread. Keeping fingernails short helps prevent skin damage from scratching. The infection is usually not serious and rarely causes complications in healthy children.","https://www.mayoclinic.org/diseases-conditions/impetigo/symptoms-causes/syc-20353273"
Impetigo,"There are two main types of impetigo: non-bullous impetigo (the most common form) and bullous impetigo. Non-bullous impetigo starts with red sores that quickly rupture, ooze for a few days, and then develop honey-colored crusts. Bullous impetigo features larger blisters filled with clear fluid that appear on normal skin, usually on the trunk or between the wrists and ankles.","https://www.skincancer.org/skin-cancer-information/impetigo"
Impetigo,"Treatment typically involves antibiotic therapy. Mild cases may be treated with topical antibiotics such as mupirocin or fusidic acid. More severe or widespread cases may require oral antibiotics. Keeping the sores clean and covering them with a bandage can help prevent spreading the infection. Gentle washing with soap and water helps remove crusts and debris.","https://www.aad.org/public/diseases/impetigo"
Impetigo,"Prevention involves good hygiene practices: washing hands regularly, avoiding close contact with infected individuals, not sharing personal items like towels, clothing, or utensils, cleaning and disinfecting surfaces that may harbor bacteria, and keeping fingernails short. Prompt treatment of cases helps prevent spread to others. Immunocompromised individuals may need more aggressive treatment.","https://www.dermnetnz.org/topics/impetigo-prevention"
Keloid,"Keloids are raised overgrowths of scar tissue that occur at the site of a skin injury. They occur where trauma, surgery, blisters, vaccinations, body piercings, or acne have left a scar. Keloids are more common in people with darker skin tones. Keloids differ from normal mature scars in composition and size. Some people are prone to keloid formation and may develop them in multiple locations.","https://www.dermnetnz.org/topics/keloid"
Keloid,"Keloids form when the skin overcompensates in healing a wound. Instead of a flat scar, the body produces extra collagen, resulting in a raised, hardened growth that extends beyond the original wound boundaries. Keloids can develop from almost any type of skin injury, including cuts, punctures, surgical incisions, burns, acne spots, or chickenpox scars. They may feel itchy, tender, or painful to the touch.","https://www.mayoclinic.org/diseases-conditions/keloid/symptoms-causes/syc-20353273"
Keloid,"Treatment options for keloids are challenging because they tend to recur after treatment. Options include corticosteroid injections, cryotherapy, laser therapy, radiation therapy, surgical removal, and pressure garments. Often a combination of treatments works best. Surgical removal alone has a high recurrence rate, so it's usually combined with other treatments.","https://www.aad.org/public/diseases/keloid"
Keloid,"Prevention strategies for individuals prone to keloid formation include avoiding unnecessary skin trauma such as tattoos or piercings, properly treating acne to minimize scarring, and using pressure garments or silicone gel sheets after surgery. Testing a small area first can help determine if a procedure is likely to cause keloid formation in susceptible individuals.","https://www.dermnetnz.org/topics/keloid-prevention"
Keloid,"Keloids are more common in people of African, Asian, or Hispanic descent. They tend to develop on the chest, back, shoulders, and earlobes. Family history plays a significant role - if you have a family member with keloids, you're more likely to develop them. Hormonal changes during pregnancy can sometimes trigger keloid formation.","https://www.mayoclinic.org/diseases-conditions/keloid/risk-factors"
Lichen Planus,"Lichen planus is an inflammatory condition that can affect the skin, hair, nails, and mucous membranes. On the skin, lichen planus usually appears as purplish, flat-topped bumps that develop gradually over a period of several weeks. The bumps may have a polygonal shape and fine white lines (Wickham's striae) on the surface. It's not contagious.","https://www.dermnetnz.org/topics/lichen-planus"
Lichen Planus,"The exact cause of lichen planus is unknown, but it's believed to be an autoimmune disorder where the body's immune system mistakenly attacks skin cells or mucous membranes. Certain medications, such as those for high blood pressure, heart disease, or arthritis, can trigger lichen planus. Hepatitis C infection, genetic factors, and stress may also play a role.","https://www.mayoclinic.org/diseases-conditions/lichen-planus/symptoms-causes/syc-20353273"
Lichen Planus,"Symptoms may include purplish, flat-topped bumps on the skin or genitals, white, lacy patches in the mouth, painful oral ulcers, hair loss, scalp discoloration, and nail thinning or ridging. The lesions are often itchy. The condition can also cause changes in skin color. In the mouth, lichen planus may cause a burning sensation or pain.","https://www.niams.nih.gov/health-topics/lichen-planus"
Lichen Planus,"Treatment focuses on relieving symptoms and healing the skin. Mild cases may not require treatment. Treatment options include topical corticosteroids, oral corticosteroids for severe cases, antihistamines for itching, antibiotics if a secondary infection develops, phototherapy, immunosuppressive drugs, and retinoids. Addressing potential triggers is also important.","https://www.aad.org/public/diseases/lichen-planus"
Lichen Planus,"Lichen planus can affect people of all ages, but it's most common in middle-aged adults. Women are slightly more likely to develop lichen planus than men. The condition often resolves on its own within 6 to 18 months, though it can persist for years in some cases. Long-term complications are rare but can include oral cancer, hearing loss, and glaucoma.","https://www.dermnetnz.org/topics/lichen-planus-prognosis"
Melanoma,"Melanoma is the most serious type of skin cancer. It develops in the cells (melanocytes) that produce melanin, the pigment that gives your skin its color. Melanoma can also form in the eyes and, rarely, in internal organs. While melanoma is less common than basal cell carcinoma and squamous cell carcinoma, it is more dangerous because of its ability to spread to other parts of the body if not caught early.","https://www.dermnetnz.org/topics/melanoma"
Melanoma,"The main cause of melanoma is exposure to ultraviolet (UV) light from sunlight or tanning beds. UV light damages the DNA in skin cells, leading to mutations that can cause cancer. Fair-skinned individuals with a history of sunburns, excessive UV exposure, or those who live in sunny or high-altitude climates are at increased risk. Having many moles or unusual moles increases the risk.","https://www.mayoclinic.org/diseases-conditions/melanoma/symptoms-causes/syc-20353603"
Melanoma,"Warning signs of melanoma include changes in an existing mole or the development of a new pigmented or unusual-looking growth on the skin. The ABCDE rule helps identify potential melanomas: Asymmetry, Border irregularity, Color variation, Diameter larger than 6mm, and Evolving size, shape, or color. Other signs include a sore that doesn't heal, spreading pigment from the edge of a spot, and redness or swelling beyond the border.","https://www.skincancer.org/skin-cancer-information/melanoma"
Melanoma,"Treatment for melanoma depends on the stage of the cancer. Options include surgical removal of the melanoma and a margin of normal skin, lymph node biopsy, immunotherapy, targeted therapy, chemotherapy, and radiation therapy. Early-stage melanomas are often treated with surgery alone. Advanced melanomas may require a combination of treatments.","https://www.aad.org/public/diseases/skin-cancer/melanoma"
Melanoma,"Prevention focuses on sun protection: using broad-spectrum sunscreen with SPF 30 or higher, seeking shade, wearing protective clothing, avoiding peak sun hours, and avoiding tanning beds. Regular skin self-exams and professional skin examinations are crucial for early detection. The ABCDE rule should be used during self-exams. Prompt treatment of suspicious lesions improves outcomes.","https://www.dermnetnz.org/topics/melanoma-prevention"
Molluscum Contagiosum,"Molluscum contagiosum is a viral skin infection that causes small, firm, rounded bumps with a dimple or pit in the center. The bumps are usually painless and appear in groups. They can occur anywhere on the body but are common on the face, neck, armpits, arms, and hands. The virus spreads through direct contact with the bumps or with items that have touched the bumps.","https://www.dermnetnz.org/topics/molluscum-contagiosum"
Molluscum Contagiosum,"Molluscum contagiosum spreads through direct skin-to-skin contact, touching objects that have the virus on them (like toys, towels, or clothing), and sexual contact with an infected person. Children often get it from close contact with other children. People with weakened immune systems may develop more widespread or persistent infections. The bumps usually disappear within 6 to 12 months without treatment, though they can persist for years.","https://www.mayoclinic.org/diseases-conditions/molluscum-contagiosum/symptoms-causes/syc-20353273"
Molluscum Contagiosum,"Treatment may not be necessary if the infection is mild and not causing problems. Treatment options include topical medications (such as podophyllotoxin, imiquimod, or tretinoin), cryotherapy, laser therapy, curettage, and certain oral medications. Treatment decisions consider the number and location of bumps, the patient's age and immune status, and the potential for scarring. In children, treatment is often delayed unless symptoms are severe.","https://www.aad.org/public/diseases/molluscum-contagiosum"
Molluscum Contagiosum,"Complications are rare but can include inflammation (dermatitis), secondary bacterial infections, and eye problems if molluscum contagiosum affects the eyelids. Scratching or picking at the bumps can cause skin damage and spread the virus. People with atopic dermatitis may be more prone to molluscum contagiosum. Good hygiene helps prevent spread.","https://www.dermnetnz.org/topics/molluscum-contagiosum-complications"
Nail Disease,"Nail diseases refer to a variety of conditions that affect the fingernails and toenails. Common nail disorders include fungal infections (onychomycosis), ingrown toenails, psoriasis of the nails, brittleness, ridges, discoloration, and separation of the nail from the nail bed. Nails can provide clues to overall health, and changes in the nails may signal underlying medical conditions.","https://www.dermnetnz.org/topics/nail-disease"
Nail Disease,"Fungal nail infections (onychomycosis) are caused by dermatophytes, yeasts, or molds that invade the nail bed and plate. Symptoms include thickened nails, discoloration (white, yellow, or brown), brittleness, crumbling, and separation of the nail from the nail bed. Toenails are more commonly affected than fingernails. Warm, moist environments increase the risk. Treatment can be lengthy and often requires oral antifungal medications.","https://www.mayoclinic.org/diseases-conditions/nail-fungus/symptoms-causes/syc-20353806"
Nail Disease,"Ingrown toenails occur when the corner or side of a toenail grows into the soft flesh of the toe. The result is pain, redness, swelling, and sometimes infection. Ingrown toenails are most common on the big toe but can occur on any toe. Improper toenail trimming, wearing shoes that crowd the toenails, and toenail trauma increase the risk. Proper nail care and footwear selection can help prevent ingrown toenails.","https://www.niams.nih.gov/health-topics/ingrown-toenail"
Nail Disease,"Nail psoriasis causes changes in the fingernails and toenails. Symptoms include pitting, abnormal nail growth, discoloration, loosening of the nail from the nail bed, and thickening of the nail. Psoriasis affects the nails in up to 50% of people who have psoriasis. Nail changes often occur alongside skin psoriasis. Treatment options include topical treatments, systemic medications, phototherapy, and biologics.","https://www.dermnetnz.org/topics/nail-psoriasis"
Nail Disease,"Brittle nails (onychoschizia) are characterized by nails that are easy to break, peel, or split. They are common in older adults and can be caused by frequent wetting and drying of the nails, exposure to chemicals like detergents and nail polish, nutritional deficiencies (biotin, iron, zinc), and thyroid disorders. Keeping nails trimmed and using moisturizers can help improve nail strength.","https://www.mayoclinic.org/diseases-conditions/brittle-nail-syndrome/symptoms-causes/syc-20353273"
Nail Disease,"Prevention and maintenance strategies include keeping nails clean and dry, using sharp nail clippers or scissors, avoiding nail-biting and cuticle picking, moisturizing nails and cuticles, using a base coat before applying nail polish, limiting nail polish use to prevent yellowing, and wearing gloves when working with chemicals or water. A balanced diet supports healthy nail growth.","https://www.dermnetnz.org/topics/nail-disease-prevention"
Psoriasis,"Psoriasis is a chronic autoimmune condition that causes the rapid buildup of skin cells. This buildup of cells causes scaling on the skin's surface. Inflammation and redness are common around the scales. Psoriasis is not contagious. It typically causes patches of thick, red skin with silvery scales. The condition can vary from mild to severe, affecting different parts of the body.","https://www.dermnetnz.org/topics/psoriasis"
Psoriasis,"The exact cause of psoriasis is unknown, but it's believed to involve a combination of genetic, immune system, and environmental factors. Triggers that can cause psoriasis flare-ups include infections, stress, cold weather, smoking, certain medications, and alcohol consumption. Genetics play a significant role - if you have a family member with psoriasis, you're more likely to develop it.","https://www.mayoclinic.org/diseases-conditions/psoriasis/symptoms-causes/syc-20353273"
Psoriasis,"Treatment aims to reduce inflammation and clear the skin. Treatment options include topical treatments (corticosteroids, vitamin D analogues, retinoids, etc.), systemic medications (methotrexate, cyclosporine, biologics), phototherapy, and lifestyle changes. The choice of treatment depends on the type, severity, and location of psoriasis, as well as patient preferences. Biologics have revolutionized psoriasis treatment in recent years.","https://www.aad.org/public/diseases/psoriasis"
Psoriasis,"There are several types of psoriasis, including plaque psoriasis (the most common), guttate psoriasis, inverse psoriasis, pustular psoriasis, and erythrodermic psoriasis. Plaque psoriasis appears as raised, red patches covered with a silvery-white buildup of dead skin cells. Guttate psoriasis appears as small, drop-like lesions.","https://www.niams.nih.gov/health-topics/psoriasis-types"
Psoriasis,"Complications of psoriasis can include psoriatic arthritis, eye conditions, obesity, type 2 diabetes, high blood pressure, cardiovascular disease, and other health issues. Up to 30% of people with psoriasis develop psoriatic arthritis. Proper management can reduce the risk of these complications. Regular follow-up with a healthcare provider is important for monitoring disease progression and treatment effectiveness.","https://www.dermnetnz.org/topics/psoriasis-complications"
